Date,Close/Last,Open,High,Low
12/27/2024,19722.03,19896.77,19904.77,19553.4
12/26/2024,20020.36,19979.25,20070.08,19888.11
12/24/2024,20031.13,19818.48,20031.13,19813.76
12/23/2024,19764.89,19641.05,19772.09,19504.68
12/20/2024,19572.6,19190.04,19758.61,19168.38
12/19/2024,19372.77,19565.66,19623.02,19357.76
12/18/2024,19392.69,20114.98,20179.77,19336.59
12/17/2024,20109.06,20095.62,20148.83,20004.73
12/16/2024,20173.89,20016.12,20204.58,19988.12
12/13/2024,19926.72,19995.18,20061.65,19817.47
12/12/2024,19902.84,19947.34,20018.24,19897.38
12/11/2024,20034.89,19832.96,20055.93,19830.64
12/10/2024,19687.24,19796.39,19887.08,19641.34
12/09/2024,19736.69,19824.09,19872.79,19698.05
12/06/2024,19859.77,19743.96,19863.14,19734.42
12/05/2024,19700.72,19756.4,19790.03,19688.59
12/04/2024,19735.12,19587.48,19741.76,19575.4
12/03/2024,19480.91,19364.34,19486.15,19340.41
12/02/2024,19403.95,19255.42,19436.92,19255.42
11/29/2024,19218.17,19087.47,19245.49,19066.52
11/27/2024,19060.48,19132.99,19133.11,18937.2
11/26/2024,19175.58,19109.08,19184.4,19100.73
